sentimen,Tweet
1,iya lucu emang dia aku temenan di ig
1,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki
1,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov 
1,kak mau jugaa
1,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew 
1,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit 
1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar 
1,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt 
1,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun 
1,buat dong aku kan juga istrinya daniel 
1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
1,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa 
1,tolong la harini je dah banyak sangat ketawa krem perut aku yall
1,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml
1,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo 
1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
1,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah 
1,segitu kangennya ya mba sama aku 
1,hidup ini adalah pilihan yang harus kamu pilih
1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah 
1,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku 
1,i liked a video aku tanya pak jokowi pakai bahasa jawa 
1,okaay nggapapaa aku minta doyoung ajaa makasih yaa 
1,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat 
1,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang
1,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh
1,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca 
1,jika aku jadi ratumu maka pasti kau rajanya ya kan 
1,aku penggemar mie burung dara enaknya nyambung terus
1,ni kalau suami aku panggil sayang macam ni we're gonna make babies right after 
1,be strong bro 
1,di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d 
1,cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu 
1,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani 
1,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n 
1,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f 
1,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak 
1,stay beside you was my job hehee sayang kamu 
1,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu 
1,fams sama aku yuk 
1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
1,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya 
1,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti 
1,gilaaa beliin aku dong kak 
1,kalau kamu mau dihormati harus mau menghormati
1,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini 
1,bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos 
1,aku ikut habib lutfi aja rois aam jam'iyyah ahlith thariqah al mu'tabarah an nahdliyyah yg meminta menurunkan bendera yg k 
1,omg kamu harus melihat ini bigolive 
1,jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang 
1,saat ditanya aku hanya diam dan mengangguk kutahu bahwa dia orang yang baik
1,aku pake himalaya neem mask juga gini kok bagus emg matull banget
1,selalu buat macam ni setiap kali nampak peti ais kat dapur haha
1,idola aku banget itu mba 
1,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b 
1,hahahaha pastu buat2 terkejut eh dah sampai aku tumbokk muka kau kang 
1,karena presentasi hari ini lancar aku mau bikin ga album only wanna ver one ver aja no need to follow tapi 
1,shopee kamu apaa mau dong
1,laksanakan segala apa yang diwajibkan allah niscaya kamu menjadi orang yang paling bertakwa hr ath thabrani 
1,aku cinta segala promo grabfood karena bisa makan burger mcd seharga ayam geprek 
1,aku mungkin luaran nampak happy go lucky sentiasa tersenyum dgn orang sekeliling friendly gelak ketawa sampai berdekah a 
1,aku cinta w1 
1,done watching dilan 1990 2018 dari start movie sampai habis aku senyum sorang nasib baik tengok sengsorang kalau ram 
1,aku mau 
1,doa untuk ibu dan bapa ya allah ampunila 
1,tampil sndiri atasi diri hadapi audiens lakuin perlihatkan ssuatu 'skill mu sampai tuntas buat smua kagum p 
1,ciri lelaki idaman aku um kena sama macam ayah aku 
1,sikaaat ajaaaa sissst sikat bajunya celananya biar bersih wkwk canda ding kalo bisa ga usah sikat sii 
1,shuhuaama sih tapi aku suka banget sama makanan jepang 
1,aku pun nak cari rezeki halal bisnes online dgn cara betul takkan aku nak menipu orang pulak kan
1,cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat a 
1,selamat bertambah umur kamuu semoga kamu sehat selalu dan dipanjangkan umurmuemoga kamu selalu di 
1,wei aku kt kedai mamak ni tiba2 keluar nudes kt tl aduh hahahaha
1,walaupun maut memisahkan kita aku akan selalu mencintaimu menyayangimu setulus hatiku fellychibi 
1,hari ini aku akan berusaha untuk bersinar dengan awan berjalan beriringan dan tetap memuja kebebasan hanyutku
1,rindu kau tapi takpa la aku doa dari jauh jeemoga tuhan beri perlindungan pada kau 
1,mantap nih kata kata pak jokowi aku dan para avengers lain siap untuk mencegah thanos menghapus setengah dari populasi j 
1,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaah 
1,muhammad q muhammad q dengarkanlah seruanku aku rindu ak rindu padamu muhammad q
1,jangan lupa sholat jumat ya sayang aku jelek ya sayang ' bukan biar ganteng ih itu kan wajib oh kirain makasi 
1,seseorang yang bisa membuat aku sering merasa khawatir berarti dialah orang yang sangat aku sayang 
1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
1,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man 
1,aku mauuuu
1,omg kamu harus melihat ini bigolive gt pada kemana aja 
1,ngikik baca ginian siang hari
1,wahai manusia yang aku suka terima kasih sebab support aku serta ada ketika aku gembira dan duka kau memang anugerah 
1,lipstik yg creamy kaya purbasari gt bibir aku kering kalo pake itu enak ga keliatan kering
1,gemes kan aku oenyoe getoh cmiew jfclosedday
1,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu 
1,kenangan yg paling indah itu ialah ketika pertama kali kau cumbui aku sayang 
1,teruntuk kak rehan kamu yg sabar ya 
1,terus dia sharing2 gitu deh sama ngasih motivasi gua sama ngasih petuah2 kalo kamu pgn kaya amp nikah di umur sebelum 30th 
1,belum start kuliah aku dah ponteng haih apa nak jadi hahaha
1,iya tp ada lagi tempat paling indah aku mau tunjukkin ke km dgn semangataya bawa dia ke tempat titik favorit saya 
1,kalau aku berjuang trus sampai akhir aku pasti akan menemukan jalannya matsukaze tenma 
1,hsjsjs aku juga apalagi kalo diliat dancenya 
1,selamat berehat mr acappan antara pelawak aku suka amp evergreen selainathiya 
1,senang senang je aku diperbodohkan duluob sob 
1,ngantuk aku tidur dulu jangan khawatir besok aku masih mencintaimu seperti biasanya besok aku masih ngirim pesan seperti 
1,mauu dm aku
1,karena aku percaya allah sdh mentakd 
1,iya bener hahaha aku uda folback wlpun jarang pake ig hahaha fbmu apa 
1,jeffan jangan manis manis banget donk nanti aku diabetes 
1,aku cinta diriku sendiri 
1,gigih nau
1,thanks wey sebab kau berani lagi tegur aku walaupun aku dah tak suke
1,aku berada ditempat dimana aku bisa menjadi seseorang yg berjalan diatas kakinya sendiri aku berada ditempat dimana aku bi 
1,aku suka perempuan yang susah nak dapat tapi tulah susah betul nak dapat 
1,aku suka jinkook 
1,aku tahu kau boleh sabar k 
1,aku sumpah cheese ni penyelesaian segala masalah kat malaysia nak kedai makan laris jual makanan dengan cheese nak b 
1,jika aku bisa memutar kembali waktu aku tidak akan memutarnya karena aku tau kamu sdh bahagia dan beginilah seharusnya 
1,berarti aku sepecial 
1,aku nak pesan satu benda penting ni hargai orang yang masih ada kat dunia ni especially ur mom dad grandma pa siblin 
1,aku xpernah tengok mak bahagia sebahagia dye hidup dengan pakcik mak yg dulunya sedih susah dah mule ade sinar bah 
1,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu 
1,kok aku minat yg 20 ya pen nonton magic kaito berapaan 
1,tiap salam buat suami aku exo di korea paaak 
1,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b 
1,temen doakan aku ya biar bisa dilancarkan buat ngerjain skripsi terutama bulan ini 
1,kalau kamu mau dihormati harus mau menghormati
1,ambik aku pls hahahahaha
1,aku di bilang akun bisyar receh katanya iya gpp kok klo yg berasa highclass seh beda ya di senyumin aja 
1,ya tuhanku jadikanlah negeri ini mekah negeri yang aman dan jauhkanlah aku beserta anak cucuku daripada menyem 
1,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s 
1,aku syg kamu martinricaardo dan kamu donimodali1olehyakub
1,uhan dalam tidurku malam ini aku mohon engkau siapkan rezeki surprise yang bagus untukku esok hari aamiin
1,adek tingkatmu kocak ae rek ngekek aku 
1,aku jokowilagi 
1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah 
1,aku nk bantu dia slagi aku mampu 
1,kamu belum tentu lebih baik darinya dia belum tentu lebih baik darimu di balik fakta siapa lebih kaya secara materi le 
1,siang boss qu jgn lupa makan siang dan selalu pentingin kesehatan kamu yaemangat untuk perfom nya nanti ya
1,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha 
1,boleh tak aku nak cakap yang aku dah minat drama korea hahahha sial lah hahahaha
1,sesungguhnya aku hanya tinggal bersabar dan mematuhi nasihat baik kebaikan yang kulakukan adalah untukku
1,gag aku mah baik
1,bwahahah aku sih pasti beli dua cuma ya mengingat harus beli albumnya beli phy juga qu bisa apa qaqa
1,luvluv teman aku yg kordes
1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
1,acara keren enterpreneurchool 2018 yg diadain sama ini wajib kamu datengin deh intelektual muda apalagi 
1,andai pun kita menyerah dan berkata sudah kau dan aku adalah kita yang terindah 
1,jangan bersedih brader 
1,pintar itu harus beradab klo hanya pintar aja iblis juga pintar apakah anda juga iblis aku lebih 
1,jangan percaya dengan apa yang sedang kamu baca termasuk tweet ini ingin ngakak sendiri saat nulis ini 
1,awalnya mereka mentertawai apa yg kamu ciptakan lalu mereka mengikuti apa yg kamu ciptakan selanjutnya mereka bangga dg 
1,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha 
1,yang tau aku ya cuma aku sendiri sama tuhan jadi jangan pernah ngejudge seenaknya 
1,aku yang baik 
1,saya suka video aku tanya pak jokowi pakai bahasa jawa 
1,al quran is the answer for everything that happens in this world termasuk alam semesta ini gimanaetiap permasala 
1,aku teringat ke hehe
1,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f 
1,akan ada masa dimana kamu yg dulunya selalu ngasih kabar ke orang tua dengan ucapan sprti ini ma pak uang anakmu habis 
1,suami pun dah macamherlock nak kena berfikir bagai utk dapat jawapan power haha
1,tuhan bijakkanlah aku dalam mengkhawatirkan masa depanku agar aku tak melumpuhkan masa kini ku
1,aku tak power mana pun masak memasak nie tapi aku harap bila dah kawin nanti setiap hari aku dapat masakkan suami aku d 
1,aku tak akan menarik kembali kata kataku karena itulah jalan ninjaku 
1,jika kamu ingin melupakan rasa marah terhadap seseorang ingatlah kebaikannya 
1,pertama kalinya ada yg ngadain ga sekaligus 2x baik bgt kakanya terhura aku 
1,aku lebih mencintai orang yang menegurku daripada orang yang memujiku kerana orang yang menegurku sebenarnya menyelama 
1,kalo dia anggap kamu sahabat mau semarah apapun dia gak akan bisa benci lama lama pasti balik lagi 
1,bukan nak kata aku ni berani tapi kita tak boleh takut sangat dengan benda ni kita kena takut dengan allah je tapi ke 
1,aku merasakan sebuah pencerahan hari ini 
1,aku terhibur dendangan si ikan kaloi td talented huwaaaa
1,haha mau ketawa ngakak di depan muka kamu boleh gasih 
1,aku mulai mendewasakan cinta membiarkan kata katamu amarahmu egoismu keras kepalamu lepas dari tubuhmuedangkan aku 
1,malu ah keliatan menel aku wkwkwkwkwk
1,terserah sampeyan mau bilang apa tapi aku manut habib luthfi dan khryarif rahmat bahwa bendera yg dimaksud dngn liwa dan 
1,iya kamu dari bali yaekalian mutualan yuk aku juga dari bali 
1,iya iya aku jg brcanda yang td wkwk
1,ada aku 
1,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja 
1,aku suka lovitta amp aliqa 
1,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man 
1,senangnya aku klo km ajak ke sana
1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
1,angeline miss katae mama aku cuma dapet dikit sincia'an kemaren me dapet berapa her 12 juta katae kembali menguc 
1,mu gemes banget adminnya aku ga jadi marah 
1,karna sekarang aku lagi ulang tahun dan besok hari enip nya ikon aku bakal adain ga pulsa 10k untuk 2 orang cukup aj 
1,kalo aku yg menang jajanin ya wkwk 
1,aku pernah gak buat gini tapi apesal tak baik baik jugak hahahahawau
1,seseorang yang berarti tak akan dengan mudah kamu miliki jika kamu sungguh mencintai jangan pernah berhenti berusaha untuk hati 
1,kalau itu mah aku juga ngerti atuh 
1,kehidupan adalah 10 yang terjadi pada dirimu dan 90 sisanya adalah bagaimana kamu menghadapinya
1,ho meta aku ws mg ahhahahah
1,kamu dulu hehe
1,aku tahu didepanku banyak halangan dan rintangan tapi aku tak akan berhenti dan menyerah 
1,nasib baik akak aku normal 
1,hahahaha kamu ya klo ada ice cream nyium aja deh besok aja ya imo jemput mau klo hari ini imo mau pacaran dulu 
1,lah kan emang cantik dek masa iya ganteng kalo kamu ganteng trs gua apaan dek 
1,wow aku salute org yg ada kesabaran yg tinggi niiiii huhuhu
1,kalo di surabaya liat cece cece ngomong kayak anak jaksel tapi logat e suroboyo gyettt be like lah ya ntik gua pick up 
1,ehh nakk haha aku kdg ngam2 cantik kdg tu ter jauh plak smpai kene bukak seatbelt nak hulur keluar haha 
1,jangan terburu buru mengartikan segala yang baru kamu lihat dari permukaan segala yang tampak belum tentu sesuai letak 9996
1,tls followan ama aku yukk rep rt kita temenan
1,tuhan memang mentakdirkan kita untuk saling berjauhan tetapi aku yakin tuhan memiliki rencana besar dibalik itu semua
1,dengan tata ruangan yang bikin kamu nyaman deh buat nongkrong 
1,sentaknya terdiam akan bungkusan mie yang ia lihat guys lihat deh aku dapet apa kocak banget gak sih l 
1,kamu tidak perlu menjadi bulan atau bintang untuk terlihat sempurna karena menjadi dirimu sendiri adalah sebuah kesempurnaan 
1,hahahah agree nak mengadu itu ini panggil awak saya selalu whatsapp hmmm pastu kite marah kite 
1,nampak sgt aku tkde life hahahaha
1,pak aku pengen nikah pak nduk nikah kue ibadah ojo kesusu ndak ra khusuk nduk paaak 
1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar 
1,ana uhibbuki fillah hatta fil jannah abadan abada aku mencintaimu hingga ke syurga selama lamanya kerana allah 
1,mau daftar jadi driver ojol 
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember 
1,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo 
1,happy videogameday untuk seluruh gamers dimanapun kamu beradaemoga engga cuman main gamers juga bisa berprestasi lewat g 
1,setuju deh sama kamu 
1,moga baik2 saja n dapat baby comel 
1,yuk intip gaya busana julie laiskodat ini bisa jadi refrensi kamu ke kondangan lewat 
1,aku mohon tepatilah janjimu penantiancintaeps19
1,aku akan bertahan selagi aku bisa namun disaat aku sudah tak bisa dan tak kuat bertahan maka aku akan pergi dan menjauh 
1,wkwkwk ketawa aku kalo sedaerah sekalian meet up deh g
1,ocit kangen banget ini aku irene dapet acc dari temen dan mau balik rpw 
1,hayuk mas aku mau
1,iya juga yaa ternyata aku sehebat itu
1,itu apalagi cuma tuduhan tak berdasar opo aku ra tambah ngguyu 
1,gaisss gaiss aku mau ajak kalian bernostalgia nihh yukk simaxxxx
1,aku yg ngobatin kalo kamu sakit 
1,kalaulah dengan senyuman boleh pulihkan hati aku yang sakit ni aku sanggup senyumetiap masa aku sanggup 
1,tapi aku mencintaimu 30 emha ainun nadjib 14ep 2018 tetes tak mungkin kau temukan alama 
1,iya tulus itu coba saja kamu fokus bersihin jerawat biar pede lagi
1,dan memang terbuktilah aku lagi tertarik dengan orang yg kelakar hahaahahahahaha
1,hanya karena kamu ditolak tidak berarti kau harus bersedih 
1,aku ganteng weareskatepunkers
1,tidak ada yang sia sia jika kamu bisa mengambil hikmah dari setiap masalahemua hanya proses pembelajaran diri untuk men 
1,semoga kamu tdk secepatnya berlalu 
1,kamu mau kemana sih udah disini aja diluar dingin biar aku peluk ucap kasur kepadaku di setiap pagi hari 
1,aku akan meyakinkan smw org bahwa mohini mencintai hartamu mohini penantiancintaeps19
1,mau dong aku lg butuh acc 
1,aku tidak akan melepaskan tanganmu sebelum kau melepaskannya full house
1,aku suka orang cakap macam ni even tak rasa benda tu menyusahkan pon at least aku tahu dia appreciate pertolongan aku https 
1,wkwkwkwkwkwwk tumben sekali kamu bepikir positip iiiaaaa
1,izinkan aku berbahagia karena aku serius bisa buat photocard sendiri lel 
1,aku suka liat kakaknya jadi mas adimas lagi dong kalo sehun 
1,di hari jum'at yang baik dan mustajab ini aku ingin berdo'a yaa allah berikan hamba keberanian untuk keluar dari 
1,aku pengen ini ya allah 
1,hahahahahahah selalu umpan aku dgn bakso cheese kan hahaha inshaallah nanti kalau jd buat aku gtau
1,wkwk harusnya aku tanya juga pertanyaan itu karena aku kepo and i knew her since long 
1,rlt ini di mall aku nemu ginian ngakak bgt 
1,rlt inilah alasan kenapa aku cinta twitter ' cr sharpanocopath 
1,aku cuba utk tak awkward dgn kau aku berterima kasih sbb kau pun membantu 
1,kebahagiaan tidak akan habis hanya karena membaginya ketahuilah kebahagiaan bertambah ketika kamu bersedia untuk berbag 
1,dan hendaklah mereka memaafkan dan berlapang dada apakah kamu tidak suka bahwa allah mengampunimu dan allah ma 
1,seorang ksatria patriot pasti mengayomi yg lemah buktinya kita semua tau siapa yg menulis buku aku bangga jadi anak pki o 
1,aku suka tobeli
1,kamu suka kanuka dongg 
1,terkadang untuk membuatmu menyadari siapa dirimu tuhan tak memberi orang yang kamu inginkan tapi orang yang kamu butuhkan 
1,aku suka bila org yg aku syg selalu cari aku letakkan aku sbg priority diauka duka susah senang dia cari aku dia tak p 
1,jika allah memberi kamu nikmat sepotong roti saja syukurilah itu kerana allah tidak membuat kamu meminta minta kepada ora 
1,gak ada bosannya nunggu kamu balik lagi sama aku ' 
1,alhamdulillah baru sampe rumah nih hari yang panjang sekali jadi ngantuk banget sampe susah melek tetapi aku seneng 
1,sarah gtayang hahahah tersasul panggil sayang hahahahah lawak abang ipar aku ni
1,jangan berpikir kamu tak mampu hidup tanpa dia yg telah meninggalkanmu percayalah ada seseorang yg lebih baik sedang menunggumu 
1,maafin aku masih suka ngetawain ini 
1,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka 
1,teruntuk kak rehan kamu yg sabar ya 
1,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
1,aku balik ngefans lagi wkwkwk
1,bro followan yuk ama aku ava ku sungwoon auto follback ya hehe
1,aku ikutan 
1,santai ae lak aku
1,mengenali diriku sendiri adalah kunci untuk mencapai kesempurnaan karena itu berarti aku mengetahui apa yang bisa dan tidak bisa kulakukan
1,lol
1,sedap juga makan bende rebus ikan dengan nasi putihh aku penuh kesabaran tgk mak abh makan sambal sotong
1,aman aku teringat kau ckp apply kerja kat jobstreet aku apply kejap aje dapat bersyukur siak terima kasih lin 
1,aku selalu berpikir cinta itu artinya ingin selalu bersama seseorang yg sebenarnya sangat berharga dalam hidupku itsukipas pa 
1,tak peduli apa yang telah hilang dalam hidupmu selama kamu masih mampu bersyukur pada tuhan kamu tak kehilangan apapun 
1,sayang kalo kamu cari yang tajir dan ganteng aku mundur tapi kalo kamu cari pengobatan ala tiongkok akupuntur 
1,aku dengan kakak aku always wey tak pun yo 
1,pasanganmu tetap yang terbaik selama kamu tidak terus terusan mencari kekurangannya justru kurangnya dia kamu usaha lengkapi 
1,done yaa moment yang bikin aku jatuh cinta samaeventeen setiap kali aku melihat sikap kekeluargaan 
1,thank you pulsanya udah masuk ya padahal mah aku niatnya cuma jawab komen kamu aja eh malah dikasih pulsa wkwke 
1,aku baru menyadarinya setelah sekian lamaemoga kelak dapet dospem yg baik hati 
1,giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits 
1,sedap ni buat sate
1,lee jonguk karena memang ia menganggap ljs adalah teman baik maka tidak perlu merasa canggung bukankah jika aku merasa rindu 
1,kalau aku mau melakukan itu jadinya ini nyatanya begini taunya begitu 
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember 
1,amiiiiin goodluck 
1,bukan aku lah setan ish dia ni ahahahahahahah syaza en alamak pukul kau kang 
1,masuk grup yg aku barusan share ya ntar langsung goyang aja shopeenya 
1,kejar mimpimu aku takkan berhenti sblm sampai ke pertemuan 2 laut atau aku akan berjalan bertahun2 qs al kahfi 60 
1,nampak sedap do leleh patut aku ikut je zzz
1,benar kan aku 
1,nanti aku tanyain keuamiku dulu ya baru aku kabarin wkw
1,jangan semakkan life aku dengan mende yang berguna hahahahaha
1,aku ingin begini aku ingin begitu ingin ini itu banyak sekaliemua semua semua dapat dikabulkan dapat dikabulk 
1,tadi ada budak usm kelantan panggil aku akak sebab dia kata gaya aku macam senior lewlwlwls
1,pencapaian sederhana dalam hidup instastory ku dilihat kamu 
1,moga2 allah berikan aku bersalin normal dengan selamat kali kedua nanti 
1,malu dia kayanya padahal aku bangga2in dia 
1,tls followan ama aku yukk rep rt kita temenan
1,aku mimpiin kamu dong 
1,lucu do tadi kak cafe asal mana dik mearawak kak k cafe org mana me kuching kak k cafe ohhh org bandar 
1,iya huhu aku sayang mutual disini 
1,hahahahahahaahahaha aku jauh kot siapa nk amik aku 
1,jika allah memberi kamu nikmat sepotong roti saja syukurilah itu kerana allah tidak membuat kamu meminta minta kepada ora 
1,ini aku main pake yang biasa tetep nyaman ps4 pro cuma buat 4k doang bang utamanya ini malah aku p 
1,masih belum terlambat kalau nak cuba hisap rekorder 
1,kakak caro plis hari ini menang ya biar weekend ku berwarna ngeliat kamu di tipi hehehe
1,daripada kamu bergantung pada alat alat ku lebih baik kamu kerjakan dengan usahamu sendiri doraemon 
1,hahahaha hey aku lagi lalalaa
1,kena bayar lebih kalau mcmni 
1,aku penginne kerjo ng tmpat dgn bismis
1,dosen2 macam bu lilis ini nih yg bikin aku tambah pengen jadi orang hukum
1,karena aku menang fansign svt besok aku mau giveaway untuk carat ditunggu yaa 
1,aku suka lebih suka klo lihat isi nya tambah sange
1,mau dong pinjem catetannya aku pemales wkwk
1,jangan pernah tinggalin seseorang yang kamu butuhkan demi orang lain yang kamu inginkan 
1,aku ingin ngecat kamar warna tango bubble gum 
1,aku ni jenis dahulukan orang yang aku sayang bahagia dulu lepastu baru aku membawa diri 
