Tweet,Sentimen
"@masbro_sofyan mau coba pake yg unlimited 1 bulan 140 rb itu, tapi masih ragu. takut lemot buat kuliah online :(",0
"Gaenaknya serba online tuh lg cross check jadwal kuliah, kalender akademik, jualan, di sindir” ortu main hp terus hm:) sumpah mau balik kos aja biar hati damai tp ortu gmau bayarin uang kos:(",0
"Nggak cuma materinya aja yang bisa dipencet! 

Join Kelas Online atau nonton video di Youtube Pahamify juga bisa tinggal klik di Walkthrough of UTBK! Gahoel bukan? 😎

Download Walkthrough of UTBK di https://t.co/ukCqNL21ER 🤩 https://t.co/iJL7Sr0hOW",1
"Kalau brother pecinta otomotif pasti enggak asing dengan alat bernama speed gun

Begini cara kerja dan macam-macam tipe speed gun, si alat pengukur kecepatan
https://t.co/k86zFVS8uo",1
Kursi kerja selama WFH (brb peregangan takut skoliosis) https://t.co/GcuDFU9AWT,1
"Hallo Sohib Jakpus 👋🏻, musim hujan gini bikin kita ngantuk terus ya.

Kalau Sohib Jakpus ngantuk pastinya menghambat pekerjaan kalian dong, terutama yang
sedang Work From Home. https://t.co/BXAhn3Fc47",0
udh berharap bgt kuliah offline tp keknya ttp online:),0
"selamat beraktifitas kuliah online again. semangat senin🤩 
#maret",1
Berdasarkan jadwal besok yg ngantor saya doang. Yg laen wfh. Hehehe,0
Besok wfh tapi harus ke kantor tuh gimana ya😑,0
"Demi membantu para difabel yang kesulitan menggunakan transportasi umum, Triyono dirikan Difa Bike City Tour &amp; Transport.

https://t.co/yBQy1xXca5",1
"@koleksibarbar Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
"3 bulan wfh dengan meja dan kursi ngasal, rasanya bahu pinggang dan pundak ku seperti mengajukan surat resign.",0
"[cm] halo guys, aku mau minta tolong untuk isi kuesioner mengenai Pengaruh Penggunaan Media Pembelajaran Daring Terhadap Minat dan Hasil Belajar Mahasiswa. Mohon bantuannya yaa, reply aja nanti aku dm satu2, makasih🤍",1
"@yusuf_dumdum Kalo work bisa from home, demo juga harusnya bisa from home aja.",1
fak sange disaat kuliah online tuh ceritanya gmn,0
"@subtanyarl orang nikah mah cuma sekali nder... klo kuliah kan masih ada batas maksimal ""bolos"" nya... klo pun masih mau hadir kuliah, selama masih online kan bisa aja nyambi kuliah sama bridesmaid nya...",0
Absensi sekolah online lengkap dengan berbagai fitur yang memudahkan aktivitas pembelajaran jarak jauhmu👥. Guru dan siswa dapat mengakses https://t.co/Ijv7P6WdyM di komputer dan App https://t.co/Ijv7P6WdyM di ponsel👀. https://t.co/UMnkCALtQn,1
Ko masih banyak yg gatau WFH sih? 🙁,0
"Bukan pda tempatnya sih sambat, tapi tak pikir pikir, semenjak ada wfh ini lha kok boyok ku rasanya kek gimana gitu, kek nyeri senut senut, dan bikin sering ketiduran",0
"@LayangMachu @ezash Ber-4 kak suami sering wfh, anak masih kecil2 sih 5 sama 3 taun. Bisa hemat mungkin karena ini https://t.co/mZtWgFbcmU",1
"Btw, karna lagi sibuk2nya daring dan kuliah keknya aku bakal jarang mampir kesini buat jb2 huhuuu. Tadinya aku mau bolak2ik tapi kayanya ga memungkinkan, jadi aku mau pamit rest duluuu ya moots~",1
"kelas biase: faham , tak banyak keje
kelas online: tak faham , banyak keje",0
"minggu ni work from home, ayuh kita berusaha dengan gigih!",1
"@Hukama_Hilmy [2/2] Untuk layanan bantuan belajar, UT menyediakan layanan Tutorial Online dan Tutorial Tatap Muka. 

Info lengkapnya pd katalog penyelenggaraan 220/2021 edisi 2 di https://t.co/HQZYUjYYH6 atau hub Hallo UT di 1500024 (tkn 0 u/bicara dgn call center)
Terima kasih

CC_Jen",1
Selama jadi mahasiswa ga pernah ngerasain kelas daring. Pas kerja tiap hari daring muluu,1
Hari pertama wfh lagi. Bingung mulai dari mana saking lamanya rebahan. Antara senang tapi kaya sayang.,1
Cola mau ikut kuliah online mbak https://t.co/640yoH1Ouu,1
@mikanakal99 Kamu gak ke kantor ko online trd,0
[cm] info dong ada yg pernah magang dikompas? itu sistemnya wfh ya?makasih,1
"AKU BUTUH TRANS INDO :)
LG KELAS ONLINE AKU INI TOLONG :)",1
"""pak wfh ya, banjir""

alasan valid jakartans",1
Wow adek aku ada kelas online trus temennya ada yang salah kirim chat ke everyone di zoom pdhl ada dosennya omg omg omg 🙀🙀😱😱😱😱😱 https://t.co/hHUaGWEeio,0
"@aerchivex Ya jangan minta , kasian . Kamu Masi sekolah? Kerja online aja",1
@raissa_101 atasanku wfh kasjakskwk degdegan akutu kalo di kantor sendiri wkwkwkwkw,1
Pen wfh terus w. Uda lupa cara berinteraksi sama manusia lain,1
"Adik adik tercinta, kalau memang tidak ada tugas jangan bilang banyak tugas , kalau memang tidak ada kelas online jangan bilang ada kelas hanya demi menghindari orang tua mu yang mau minta tolong di rumah, ya.... ❤️",1
"@subtanyarl Lebih penting spek sih nder, kalau kuliah cuma perlu ms office dan online meeting minim ram 4gb ssd, merek ga ngaruh banyak asus/acer/ lenovo/hp dll dan harga paling 4-5an",1
"Perkara uang bayaran kuliah misalnya. Kan jd polemik di banyak universitas (terutama negeri) krn pembelajaran online tuh.
Bayangin aja kalo gaada orang yg bersedia ngurusin organisasi kampus. Gak bakal ada yg bakal mengimbangi dan mengawasi kebijakan2 yg dibuat oleh rektorat.",0
"Layanan Mobile JKN mempermudah antrian
Ngga perlu dateng pagi pagi dan menunggu lama hanya untuk nomor antrian lagi
 https://t.co/iDTl2nVF8l

#BPJSKesehatan #BPJSMelayani
#GotongRoyongSemuaTertolong #JKNHadirUntukRakyat https://t.co/nGudo2PTkg",1
Senin kuliah daring selalu🌈,1
"Pertama tadi pagi udah siap siap tau tau sakit perut bgt jadi akhirnya ijin buat wfh
Abis itu konsul dokter grab, dikasih resep obat banyak pol 😐",0
@gryffinseok Lagi wfh ya kaa??,1
"@m_rovik Iya sementara, ga wfh, mmg dirumahkan. Bulan ini dirumahkan, bulan depan masuk, gitu",1
Ternyata aku gak kuat ikut kuliah online 😭😭😭,0
kalo kuliah luar kota tp kuliah online harus satu daerah kampusnya ga si?,1
"@MeikiMouse @cerpelainakal Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
"Dalam rangka program Merdeka Belajar Kampus Merdeka (MBKM) mahasiswa UPNVY diberi kesempatan utk mengambil Mata Kuliah di luar kampus secara daring  bagi yg memenuhi persyaratan. Pendaftaran plg lambat tgl 25 Feb 2021. Tunggu apalagi, buruan daftar ❤️: https://t.co/QplG81XRQr",1
"*MENAKAR SKB 3 MENTERI DI TENGAH PEMBELAJARAN ONLINE*

Setahun covid-19 ‘menghalangi’ pembelajaran offline. Berbagai kesulitan dihadapi oleh guru, orang tua dan siswa. Dalam kondisi begitu, bukannya keluar terobosan baru dalam pembelajaran, malah keluar SKB 3 Menteri tentang ser https://t.co/W4aPyqdfWJ",0
[cm] aku ketika kuliah online ga merhatiin gara gara ngantuk eh tiba-tiba  ditunjuk :))))) https://t.co/IKlgAgdoo6,1
"Ya Allah.. diriku, kuat kuat ya buat bolak balik, buat dompet juga kuat kuat yaa kuliah online nggak ada laptop..",1
"@marschalnh Hai, Kak.

Terkait belum menerima kode verifikasi,silakan cek spam/junk email Kakak terlebih dahulu.

Kakak juga dapat mengganti email yang terdaftar di DJP Online dengan email dari penyedia layanan email berbeda selain Gmail, kemudian silakan minta kode verifikasi kembali.
(1/3)",1
"Kuliah online, beli buku gak ya?
Tapi materi semua dari buku. Mana bukunya mihil-mihil :(",0
"Udh temen kantor banyak yg wfh, pada kebanjiran pula, makin sepi aja ni kantor 😭",0
"Nah untuk lo yang pingin curhat sama Mentor Satu Persen, bisa daftar di https://t.co/HlCHpiRURH yaa! https://t.co/tZzxwHa0Mc",1
@beepsbib Oo samalah WFH hari ni,1
"[cm] Pagi!🌞 Aku mau survei sebentar nih, banyak dari kalian yang bilang kalau “Ah, kuliah online bikin nggak ngerti materi!” . Menurut kalian, kenapa sih bisa sampe gak ngerti materi? Karena Dosen yg gak ngadain kelas daring kah? Tugas terlalu banyak? Atau apa?",0
"Pagi ini, acara zoom kelas anak tidak jadi digelar karena listrik mati total. Wifi pun mati. Pembelajaran akan dikirimkan guru via video di group.
Semoga listriknya segera on kembali dan anak2 bisa belajar bersama kembali, meski online 🤗 Aamiiin 🤲",1
@HOBIIMOOD kelas online pahamify yummm. aku nonton rekamannya di yt. ni linknya beb sapatau mau https://t.co/slmnCcZ5jt,1
[cm] adakah yg kuliah daring tp ukt tetap aja normal gak ada potongan sepersen pun :) nasib kampus swasta ((:,0
"Selamat Siangg #SemetonPajak👫🏻

KP2KP Negara mengadakan Kelas Pajak Online dengan mengambil tema mengenai Edukasi Perpajakan :  Hak dan Kewajiban Perpajakan Wajib Pajak Orang Pribadi yang akan dilaksanakan pada :
hari, tanggal : Kamis, 18 Februari 2021
pukul: 10.00 s.d 10.40 WITA https://t.co/3ggGebXQMs",1
"@pln_123 Belum ada yg telp kak &amp; kasi informasi ke sy, tp listrik sdh menyala,&amp; saya di info sama ibu2 komplek kalo petugas datang ke gardu komplek kami, terima kasih PLN, tlg dijaga jaringan listriknya krn posisi kami WFH &amp;anak2 sklh daring,&amp; sangat bergantung kepada ketersediaan listrik https://t.co/TP6e7Sntvm",1
"@patricialeander typingnya tuh kek gini: 

Sy sngt sibuk mengatur 12 MK dan mencari t4 kuliah daring.",1
"@HumansNoContext Daftar kredivo mudah banget, mau kredit hape? Bisa, mau pinjem uang juga bisa😅

yuk silahkan download dan daftar kredivo, jgn lupa siapkan KTP + NPWP dan akun belanja online seperti shopee, lazada, dll. pakai kode refferal dari kantor KRDSP015 agar tingkat acc tinggi https://t.co/nWgysjTBGI",1
SITUS HOKI PALING CENGLI Kamu Ingin pendapatan extra tp gak mau kerja?join ajang bergengsi game online berhadiah JUTAAN RUPIAH!!Kapan lagi main game bisa dapet duit? DAFTAR GRATIS .WA : +6281313492133 https://t.co/zejoa30Ooo,0
Moki lagi nemenin kakak anggel kuliah online 🤎🐶 https://t.co/xfvQRnVVq8,1
"enaknya online, bisa kuliah sambil liburan xixi",1
@CallmeTann lumayan... kmaren2 online waktu udah agak jenuh kerja aja wkwk,1
"@echooche - LOWONGAN KERJA. -

✓ bisnis konsultan
✓ market analis
✓ asisten manager

  [ Bisa tes dan training secara online ]

More info :
✓ig : @amelieputri
✓line : ameliaherdiani9
✓wa : 085156556981",1
"[#CNETZ] Platform video online yang dijuluki Youtube-nya China, #Bilibili sedang menghadapi tuduhan buruk #哔哩哔哩

https://t.co/ka9TsqCxV4",0
"Hari ini gue wfh di kamar aja karna lebih pewe ama meja kerja di kamar, yg gue takutin cuma kang paket dateng guenya gk denger karna keasikan pake earphones 😬 https://t.co/7lKAbIyKbt",1
#FlatEarthCommunity_. Pembodohan Skala Besar Besaran. #education #educational #edukasi #pendidikan #pendidikanindonesia #pendidikananak #belajar #pembelajaran #daring,0
semoga wfh tetap ada meskipun udah ga pandemi lagi nantinya,1
"@sherpa701 bismillah jika paman berkenan saya sangat mau, butuh untuk keperluan kuliah yang sekarang ini masih daring bingung gimana lagi harus mengerjakan tugas sering kali telah dibuat dikarena file penuh jadi tidak bisa dibuka filenya😭😭",0
@CiputMycici Lagi wfh cuman pake sarung auto bediri si joni,0
"[cm] kalian anak survei pemetaan, keluh kesah lg kelas online gini apa?",0
"@RomeSyahri @hai_why Beda kelas, CC cuman 115.",1
"Sy seorang ibu yg menyambi sbg guru SMA dn suami designer WFH dg putri berusia 4 tahun. Alhamdulillah tidak pernah pakai ART, semua dihandle bareng. Kadang kasian suami karena kerap kali kerja hingga subuh, tidur sebentar lalu gantian mngurus anak krn sy harus mngajar. https://t.co/3QnAouvwaV",1
@dokterparu waduh tantangan yg akselerasi skali Dok mengingat saya bahkan belum S2 dan ditimpuk dg tuntutan kuliah daring yg sangat tdk saya inginkan. haha,0
@hwasabiyah Gw biasanya nonton di kantor di Fox Sports tp karena WFH cuma liat live tweets aja 🤭,1
"@ridwanhr Izin, mohon bantuannya 🙏

Jika memenuhi kriteria:
1. Berusia 13-18 thn
2. Blum menikah
3. Tinggal bersama keluarga (selama satu bulan terakhir)
4. Sedang Pembelajaran Jarak Jauh (PJJ)/ Pembelajaran daring

Mohon bantuannya mengisi kuesioner: https://t.co/iVC9eb8RLn
Terima kasih",1
@DwiyaniDita @SukaSpongeb0b @Indosiar Kuliah S piro?  Online dong....ITS ae sethn lebih blm buka lo....,1
Sch! Maaf info kalo misal ikut olimpiade² online tuh dpet info biasanya dr mana sih? Pengen ikut gtuan tp tuh gatau infonya drmana😭btw kelas 11 masih bisa ikut kan??,1
"@Tegtegte @Sun_gokong_ laporkan ke BK guh, apakah ada masalah dalam pembelajaran daring atau gimana. semangat pak guru",0
"@pale__________ @adiwarnaarunika @collegemenfess Bener banget ini huhuu. Saat prodi lain dgn ringannya bahas ipk, aku yg anak teknik cuma bisa diem sambil ngelus dada 🙃
 Apa lagi kuliah daring, dahlah udah nggak mikirin ipk lagi",0
Wfh pas mandi bawa hp soalnya takut tbtb ada yg ngasih kerjaan tp trnyt gaada yg nyari eh malah hpnya yg nyemplung ke air,1
@allyavyn Ya sama mau beli masih mikir mikir wfh ga pake wkwk,1
oh kena jadwal wfh juga,1
"@azereaaa Hi Kak Azer, setelah Yuda cek pada nomor layanan Kakak jaringan internetnya online namun tidak stabil. Mengenai hal tersebut sudah Yuda bantu refresh jaringannya melalui sistem, maka koneksi akan otomatis terputus sekitar 10 menit setelah itu silahkan cob(1/3)",1
@waruboy AC hampir sepanjang waktu selama WFH. Mungkin hampir 18-20 jam sehari. Sisanya pas buka jendela sih.,1
"Gilak, hampir setahun wfh.",0
Cuma pakai zenius aja kita uda bisa belajar online dengan video pembelajaran yang lengkap,1
"Aksi Nekat Seorang Pria Tipu Penjual Online dengan COD di Polda Metro Jaya: ""Biar penjualnya lebih percaya kalau pelaku tidak ke mana-mana. Ini kantor polisi,"" ucap Yusri. https://t.co/gdLVuZ6SvV",0
"@drxgoogie idie idie

jangan lupa sarapan, jangan lupa senyum, semangat/daring/kuliah/kerja, pokoknya semangat buat hari ini, have a nice day - !!❣️

selamat mengawali hari pertama dibulan maret, semoga bulan ini bisa jadi bulan penuhhhh kebahagiaan :p",1
"@collegemenfess Tetep jaga 100% dan bener2 dipake kalo darurat aja. Waktu itu pas masih offline, pernah tiba2 diundang ke konferensi pemuda yg berhari2 dan berasa bgt benefitnya utk lega ga mikirin kuliah dulu. Kalo online gini, dijagain karena ga pernah tau kapan sakit tapi semoga sehat terus",1
"Nah, untuk Kawan Pajak yang masih bingung mengenai tata cara pelaporan, yuk segera daftar Kelas Pajak Online! GRATIS!",1
"Online emang sucks tapi kalo mau offline jangan skrg, nanti aja pas kenaikan kelas wkwk",1
@K_FebiJKT48 kalau kuliah online ngk kangen tp kalau offline kangen bnget,1
"makin hari ke hari makin ngerasa daring bikin tambah tolol. serius kuliah ini ga dapet apa"" gue pdhl udh masuk smt genap. materi gada yg ngerti. i tried to understand tpi ttp aja emg dasarnya gue tolol jd kg ngarti"". i've done nothing here but just waste my parents' money.",0
@nzmnzrpasem Haha. Lagi untung WFH 🤔,1
"@T0LOLPEDIA Kegblokan gua lagi kelas online terus sambil ngescroll twt ada video lewat gua kira video lucu taunya backsoundnya suara orang desah anjir, mana lupa ngemute temen"" gua pada ngechatin dan Dosen gua auto ""Yang sibuk sendiri tolong out dari zoom""  sound sialan 🙂 //",0
"Lagi pengen punya asisten yang ngetikin tugas sekolah/kampus/kantor...kepoin instagram @tukangketikmlg jasa pengetikan online

#jasaketik",1
Yawes lah dijalani bae positifnya mungkin banyak waktu luang kalo wfh (mungkin),0
"Untuk Resep krim harus konsultasi ke dokter dulu ya, krn disesuaikan dengan kondisi wajah pasien
Konsultasinya GRATIS loh👍
Layanan Online📱WA Konsultasi Non Member : 0812 4613 5494📱WA Konsultasi Member : 0813 2521 6244
📱WA Order : 0822 4342 6951
☎️ Telp : (0271) 725119/7461137 https://t.co/3vBgRhfMfR",1
"Puji Tuhan, Terimakasih Bang @DayakNewBorn Berkat kopinya sudah saya terima pagi ini, semoga abang selalu diberkati kesuksesan, ini bisa u teman lembur buat materi pembelajaran online🙏🙏🙏 https://t.co/M5umlg69Or",1
"@sangepedia Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
"@butifyul Iya dek, jam 5 kurang udah mulai kerja tapi masih wfh si",1
@rahmadhani engga itu kelas online wkwk dosennya di bandung,1
"Mau cerita 
Jadi aku punya teman, dia nginap dirumah aku 3 hari terus aku pinjamin motor biar dia bisa masuk kerja, 

Setelah beberapa hari dia pulan aku coba deh minta bantu sesuatu ke dia, ehh malah chat aku di read doang padahal masi online.",1
Pehhh online kelas ni tahap mengantuk tu hanya allah yg tahu,0
"Kemarin nya lagi, temen si anu yg pemalas itu, lg jdwal wfh tapi dicari bos. Pas di telp komplain marah2 ktny bukan hr kerja. Eh maemunah, wfh tu work from hm, bkn holiday.",0
"Link Survei Kuliah Daring:
https://t.co/tNP4ixfEyK",1
"🤗 to: @aulawfqaa
😳 from: orang
😊 for you: apa mintak secret message time class online 🙄 kelas dulu baru kamu ecehhhh HAHAHHAHAHAH",1
@lahkokaufa @KrnwnDaniel pengalaman yang wfh &gt; penjelasan,1
terimakasih skripsi. kao jadi alasanku untuk wfh di malang gaperlu lagi pagi-pagi ke surabaya,1
"@jstfindurway @schfess jujur kalo aku fisika sm kimia, kalo matwa sm matpem masih bisa ngikutin tp gara2 kimia pas kelas 10 ada bbrp materi yg aku gapaham dan ga aku ulang berakhir sampe skrg, tp alhamdulillah dah bisa ngikutin kimia dikit dikit. Kalo yg fisika bener2 susah paham aplg pas daring gini",0
"@silviprescilla @SangeBro_ Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
"@AREAJULID Disatu sisi pengen pembelajaran offline sperti biasa
Disatu sisi lain capek klo blajar online capek mentall, ksian laptop + hp panas, pengeluaran kuota makin banyak",0
"Kalo tidur sekarang... Kebablas ga ya meeting jam 8 ....

Harus bangun buat siap2 jam berapa anjir. WFH aja apa 🙄🙄🙄",0
Kelamaan wfh ehhh kantornya udh bubar duluan padahal belum pernah mijakin kaki di sana wkkwkwk,1
"@shakeeemilkid Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
"GABUNG YUK DI

KELAS ONLINE SIRAH SHAHABAT NABI
Mengenal Al-Khulafaur Rasyidin
Bersama: Ustadz Hepi Andi Bastoni

Diskon 50% dan Bonus Buku terbaru karya Hepi Andi Bastoni AKHIR HAYAT YAHUDI DI MASA NABI

Minat? WA ke:
Bu Atik 08111194560
Hasanah 08170194560 https://t.co/rvRIt444T0",1
"@uswahabibah @KemenkesRI Jelas aja kasua menurun 
Tes nya d turunkan 
Kapam berakir nya masalah pandemi klo dr pemeeintah ga serius ????? 
Bisa anak2 saya kuliah online sampe tamat ini woy??
Ga pernah ngampus bayar UKT ttp aja segitu ga ada kurang2 nya pdhl ga menikmati fasilitaa kampus pulsa beli dewek",0
"@alwaystay6 ngga tau kak, semenjak online jadi susah banget mood buat kuliah, apalagi ini kan belajar bahasa asing rada susah kalo cuma online :((.",0
"Benefits:- 
✅ Provide training
☑️ Profit sharing
✅ Kenaikan pangkat ( Based on Performance) 
☑️ Elaun medical

( Skop Kerja ) :-
✔️Memperkenalkan produk Basic Online.
✔️ Indoor &amp; Outdoor 
✔️ Bekerja dengan kumpulan 
✔️ Online &amp; Offline Marketing
✔️ Office hour (8:00am - 6:00pm)",1
@MelindaAghnia wfh terus yakk??,1
"Seminggu ini super capek bgt. Full senin-jumat dari jam 8 sampe jam 5an tiap hari, bener2 ga dapet jatah wfh sehari pun. Tapi bersyukur bgt kerjaan bisa kelar sesuai deadline. Alhamdulillah...",0
"Kantor Wilayah Direktorat Jenderal Bea dan Cukai (DJBC) Batam kini memberi Kemudahan bagi masyarakat dalam perizinan, melalui akses fitur aplikasi Bea Cukai Batam Information Online Apps (BIOLA) yang telah tersedia di Google Play. https://t.co/28UxZZTlGY",1
"@FirstMediaCares @FirstMediaCares ini masih mati apa, mau kelas online keknya wifinya mati mulu aja kerjaan nya tiap hari, gk murah bayarannya tapi rusak mulu",0
Orang tua punya peran dalam pembelajaran daring. https://t.co/GrpcDU6Kf7,1
"Positif jelah, mungkin dia kerja bertukang tapi sedang work from home..",1
"@tanyainrl guruku pas dari awal pembelajaran daring ini kasih peringatan buat pake foto sendiri, kalo pake foto orang lain biasanya cuma di read atau bahkan gak dibaca sih",1
Kelas online buat sampai petang pastu rehat 30 minit jer ingat student ni robot ke stupid!,0
sumpah dari smt awal daring sampe skrg selalu kesiangan kelas hari senin 😭💔,0
Bestnya WFH dari New Zealand🥲,1
"Perk of wfh: ada pemasangan tiang entah apalah itu depan rumah pas online meeting 

🤣🤣",1
tapi inget besok gajian dan masih WFH karna aku adalah umbi @PNS_Ababil https://t.co/GkGYgDsL5v https://t.co/utJJDZbbhL,1
"@areabiru69 Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
"Intinya, ketika wfh memang seharusnya ada rule tambahan untuk menjaga biar tetap produktif dan terjaga kualitas pekerjaannya. Jadi kalo ada yang bilang wfh lebih enak (dari sisi pekerjaannya) ya mungkin dia belum sampai tahap bisa menjaga nafsunya dari godaan-godaan pas wfh 🤭",1
"@satannics jangan lupa sarapan, jangan lupa senyum, semangat/daring/kuliah/kerja, pokoknya semangat buat hari ini, have a nice day - !!❣️

selamat mengawali hari pertama dibulan maret, semoga bulan ini bisa jadi bulan penuhhhh kebahagiaan :p",1
"@DitjenPajakRI Selamat sore bapak/ibu.. mohon maaf hendak bertanya, jika saya hendak lapor pajak tapi belum mempunyai Efin, bagaimana cara mendapatkan Efinnya ya ? Bisakah saya mendapatkan secara online ?
Khawatir pandemi seperti ini, kantor pelayanan pajak tutup.
Mohon infonya..",1
"@KArgowilis Permohonan dapat disampaikan secara langsung atau melalui pos/jasa ekspedisi/kurir dgn bukti pengiriman surat
Alamat KPP dapat dilihat di laman https://t.co/DM8gnYqFUc
Jika datang langsung ke KPP, silakan mengambil antrian online melalui web https://t.co/E7fdOViuCn
(3/3)
Tks*Itya",1
"@FirstMediaCares Hm oke. beneran diperbaikin gitu min stabil sebulan full, saya bayar tepat waktu. Lagi wfh gini kerjaan yang harusnya selesai karena gangguan perlu diulang lagi.",0
gue lagi males bgt jualaan online trs gue pgn hidup normal lagi tanpa sicovid. pergi kuliah sibuk kuliah kerja ke KL bentar trus kuliah plg bogor dikosan malem dugem ~,0
@vtaexsun Sampai kapan ni daring ya mls bgt juga kuliah di rumah pusink,0
Cepetan Ambil 5 Bantuan Pemerintah Dibagikan Februari 2021 Cari Namamu Dari HP https://t.co/pQ8T5CPgG4,1
"@TheArieAir Ngomongne saham jadi inget anak wedok.hampir setahun wfh,gajinya diinfestasikan di saham,antam,BC.jare.sok lek aku wes rabi kari ongkang ongkang neng omah ngurus anak bjo mbek mainin komputer.kog pinter men.ra rugi disekolahne duwur.",1
"@IndiHome Peregangan versi aku pas lagi wfh biasanya jalan sebentar nyari kucingku ada dimana, biar badan gerak gak diam aja",1
"@futraak Terbaik bapak satu ini😂, anti wfh club wkwk",0
